#,Hidden Layers,Hidden Layer 1,Hidden Layer 2,Hidden Layer 3,Output Layer,Learning Algorithm,Transfer Function,Total Epochs,Accuracy (in%age)
1,3,50,40,30,1,trainlm,Logsig-tansig-tansig-purelin,53,73.64
2,3,30,10,5,1,trainlm,Logsig-tansig-tansig-purelin,107,83.72
3,3,57,30,20,1,trainlm,Logsig-tansig-tansig-purelin,38,67.059
4,2,30,10,NULL,1,trainlm,Logsig-tansig-purelin,103,76.05
5,2,20,15,NULL,1,trainlm,Logsig-tansig-purelin,105,82.22
6,2,120,30,NULL,1,trainlm,Logsig-tansig-purelin,51,83.13
7,2,67,37,NULL,1,trainlm,Logsig-tansig-purelin,50,83.74
8,2,70,57,NULL,1,traingda,Logsig-tansig-purelin,75,84.14
9,2,20,10,NULL,1,traingda,Logsig-tansig-purelin,421,78.78
10,2,100,40,NULL,1,traingda,Logsig-tansig-purelin,790,79.22
